,data,valor,data_extracao,responsavel
selic_0,2023-07-13,0.050788,2023-07-14,AUTORA
selic_1,2023-07-12,0.050788,2023-07-14,AUTORA
selic_2,2023-07-11,0.050788,2023-07-14,AUTORA
selic_3,2023-07-10,0.050788,2023-07-14,AUTORA
selic_4,2023-07-07,0.050788,2023-07-14,AUTORA
selic_5,2023-07-06,0.050788,2023-07-14,AUTORA
selic_6,2023-07-05,0.050788,2023-07-14,AUTORA
selic_7,2023-07-04,0.050788,2023-07-14,AUTORA
selic_8,2023-07-03,0.050788,2023-07-14,AUTORA
selic_9,2023-06-30,0.050788,2023-07-14,AUTORA
selic_10,2023-06-29,0.050788,2023-07-14,AUTORA
selic_11,2023-06-28,0.050788,2023-07-14,AUTORA
selic_12,2023-06-27,0.050788,2023-07-14,AUTORA
selic_13,2023-06-26,0.050788,2023-07-14,AUTORA
selic_14,2023-06-23,0.050788,2023-07-14,AUTORA
selic_15,2023-06-22,0.050788,2023-07-14,AUTORA
selic_16,2023-06-21,0.050788,2023-07-14,AUTORA
selic_17,2023-06-20,0.050788,2023-07-14,AUTORA
selic_18,2023-06-19,0.050788,2023-07-14,AUTORA
selic_19,2023-06-16,0.050788,2023-07-14,AUTORA
selic_20,2023-06-15,0.050788,2023-07-14,AUTORA
selic_21,2023-06-14,0.050788,2023-07-14,AUTORA
selic_22,2023-06-13,0.050788,2023-07-14,AUTORA
selic_23,2023-06-12,0.050788,2023-07-14,AUTORA
selic_24,2023-06-09,0.050788,2023-07-14,AUTORA
selic_25,2023-06-07,0.050788,2023-07-14,AUTORA
selic_26,2023-06-06,0.050788,2023-07-14,AUTORA
selic_27,2023-06-05,0.050788,2023-07-14,AUTORA
selic_28,2023-06-02,0.050788,2023-07-14,AUTORA
selic_29,2023-06-01,0.050788,2023-07-14,AUTORA
selic_30,2023-05-31,0.050788,2023-07-14,AUTORA
selic_31,2023-05-30,0.050788,2023-07-14,AUTORA
selic_32,2023-05-29,0.050788,2023-07-14,AUTORA
selic_33,2023-05-26,0.050788,2023-07-14,AUTORA
selic_34,2023-05-25,0.050788,2023-07-14,AUTORA
selic_35,2023-05-24,0.050788,2023-07-14,AUTORA
selic_36,2023-05-23,0.050788,2023-07-14,AUTORA
selic_37,2023-05-22,0.050788,2023-07-14,AUTORA
selic_38,2023-05-19,0.050788,2023-07-14,AUTORA
selic_39,2023-05-18,0.050788,2023-07-14,AUTORA
selic_40,2023-05-17,0.050788,2023-07-14,AUTORA
selic_41,2023-05-16,0.050788,2023-07-14,AUTORA
selic_42,2023-05-15,0.050788,2023-07-14,AUTORA
selic_43,2023-05-12,0.050788,2023-07-14,AUTORA
selic_44,2023-05-11,0.050788,2023-07-14,AUTORA
